as_of,signal,n_pairs,mean_rs,fx_tilt,agg,cost,kr_return,us_return,blend_return,strategy_return
2022-03-31,US,4,-0.12381,0.6264,-0.08291,0.0,-0.0227,-0.088,-0.0553,-0.088
2022-04-29,US,4,-0.00475,0.9003,0.00208,0.0,-0.0034,0.0001,-0.0017,0.0001
2022-05-31,US,4,-0.04732,0.8244,-0.02817,0.0,-0.1315,-0.0839,-0.1077,-0.0839
2022-06-30,US,4,-0.04463,0.9719,-0.02541,0.0,0.051,0.0911,0.071,0.0911
2022-07-29,US,4,-0.09059,0.7834,-0.05871,0.0,0.0084,-0.0424,-0.017,-0.0424
2022-08-31,US,4,-0.03725,0.9902,-0.02014,0.0,-0.1281,-0.0934,-0.1107,-0.0934
2022-09-30,US,4,-0.0471,0.9993,-0.02697,0.0,0.0641,0.0799,0.072,0.0799
2022-10-31,US,4,-0.10735,0.9963,-0.06917,0.0,0.078,0.0538,0.0659,0.0538
2022-11-30,US,4,-0.02199,-0.8301,-0.02037,0.0,-0.0955,-0.059,-0.0772,-0.059
2022-12-30,US,4,-0.06096,-0.9995,-0.04867,0.0,0.0896,0.0618,0.0757,0.0618
2023-01-31,US,4,0.01895,-0.9998,0.00727,0.0,-0.005,-0.0261,-0.0156,-0.0261
2023-02-28,US,4,-0.0083,-0.3938,-0.00818,0.0,0.0265,0.0351,0.0308,0.0351
2023-03-31,US,4,-0.00566,0.832,0.00103,0.0,0.01,0.0146,0.0123,0.0146
2023-04-28,US,4,-0.03135,0.9943,-0.01598,0.0,0.0302,0.0025,0.0163,0.0025
2023-05-31,US,4,0.01186,-0.0619,0.00793,0.0,-0.005,0.0647,0.0299,0.0647
2023-06-30,US,4,-0.0699,0.444,-0.04627,0.0,0.0266,0.0311,0.0289,0.0311
2023-07-31,US,4,-0.06286,-0.9039,-0.04942,0.0,-0.029,-0.0177,-0.0234,-0.0177
2023-08-31,US,4,-0.06661,0.1151,-0.04594,0.0,-0.0357,-0.0487,-0.0422,-0.0487
2023-09-29,US,4,-0.03402,0.6404,-0.01997,0.0,-0.0531,-0.022,-0.0375,-0.022
2023-10-31,US,4,-0.05307,0.9594,-0.03139,0.0,0.113,0.0892,0.1011,0.0892
2023-11-30,US,4,-0.03646,-0.5427,-0.02878,0.0,0.0473,0.0442,0.0458,0.0442
2023-12-29,US,4,-0.01603,-0.8911,-0.01657,0.0,-0.0647,0.0159,-0.0244,0.0159
2024-01-31,US,4,-0.06542,-0.4281,-0.04837,0.0,0.0582,0.0517,0.0549,0.0517
2024-02-29,US,4,-0.01857,0.8096,-0.00814,0.0,0.0395,0.031,0.0352,0.031
2024-03-29,US,4,-0.05123,0.8631,-0.03068,0.0,-0.0199,-0.0397,-0.0298,-0.0397
2024-04-30,US,4,0.01305,0.8909,0.01448,0.0,-0.0206,0.048,0.0137,0.048
2024-05-31,US,4,-0.03301,0.8247,-0.01816,0.0,0.0612,0.0347,0.0479,0.0347
2024-06-28,US,4,-0.00814,0.648,-0.00181,0.0,-0.0097,0.0113,0.0008,0.0113
2024-07-31,US,4,-0.02819,-0.3732,-0.02197,0.0,-0.0348,0.0228,-0.006,0.0228
2024-08-30,US,4,-0.07704,-0.7286,-0.0583,0.0,-0.0303,0.0202,-0.0051,0.0202
2024-09-30,US,4,-0.05087,-0.9118,-0.04108,0.0,-0.0143,-0.0099,-0.0121,-0.0099
2024-10-31,US,4,-0.0734,0.085,-0.05087,0.0,-0.0392,0.0573,0.009,0.0573
2024-11-29,US,4,-0.16754,0.9114,-0.11181,0.0,-0.023,-0.025,-0.024,-0.025
2024-12-31,US,4,-0.11774,0.9994,-0.07642,0.0,0.0494,0.027,0.0382,0.027
