as_of,n_pairs,mean_rs,breadth,breadth_centered,weighted,mean_signal,breadth_signal,weighted_signal,mean_cost,breadth_cost,weighted_cost,kr_return,us_return,mean_strategy,breadth_strategy,weighted_strategy,blend_return
2021-04-30,8,-0.03686,0.25,-0.25,0.01843,US,US,KR,0.003,0.003,0.0,0.0178,0.0055,0.0025,0.0025,0.0178,0.0116
2021-05-31,8,0.00638,0.625,0.125,0.0016,US,US,KR,0.0,0.0,0.0,0.029,0.0227,0.0227,0.0227,0.029,0.0258
2021-06-30,8,0.00133,0.5,0.0,0.0,US,US,KR,0.0,0.0,0.0,-0.0286,0.0227,0.0227,0.0227,-0.0286,-0.0029
2021-07-30,8,-0.05922,0.25,-0.25,0.02961,US,US,KR,0.0,0.0,0.0,-0.001,0.029,0.029,0.029,-0.001,0.014
2021-08-31,8,-0.04545,0.25,-0.25,0.02273,US,US,KR,0.0,0.0,0.0,-0.0408,-0.0476,-0.0476,-0.0476,-0.0408,-0.0442
2021-09-30,8,-0.04886,0.25,-0.25,0.02443,US,US,KR,0.0,0.0,0.0,-0.032,0.0691,0.0691,0.0691,-0.032,0.0186
2021-10-29,8,-0.12808,0.0,-0.5,0.12808,US,US,KR,0.0,0.0,0.0,-0.0443,-0.0083,-0.0083,-0.0083,-0.0443,-0.0263
2021-11-30,8,-0.13725,0.125,-0.375,0.10294,US,US,KR,0.0,0.0,0.0,0.0488,0.0436,0.0436,0.0436,0.0488,0.0462
2021-12-31,8,-0.12845,0.0,-0.5,0.12845,US,US,KR,0.0,0.0,0.0,-0.109,-0.0526,-0.0526,-0.0526,-0.109,-0.0808
2022-01-31,8,-0.16626,0.0,-0.5,0.16626,US,US,KR,0.0,0.0,0.0,-0.0032,-0.0314,-0.0314,-0.0314,-0.0032,-0.0173
2022-02-28,8,-0.08,0.25,-0.25,0.04,US,US,KR,0.0,0.0,0.0,0.0217,0.0358,0.0358,0.0358,0.0217,0.0287
2022-03-31,8,-0.08493,0.25,-0.25,0.04246,US,US,KR,0.0,0.0,0.0,-0.0227,-0.088,-0.088,-0.088,-0.0227,-0.0553
2022-04-29,8,0.04516,0.75,0.25,0.02258,KR,KR,KR,0.003,0.003,0.0,-0.0034,0.0001,-0.0064,-0.0064,-0.0034,-0.0017
2022-05-31,8,0.01043,0.5,0.0,0.0,KR,KR,KR,0.0,0.0,0.0,-0.1315,-0.0839,-0.1315,-0.1315,-0.1315,-0.1077
2022-06-30,8,-0.00465,0.375,-0.125,0.00116,KR,KR,KR,0.0,0.0,0.0,0.051,0.0911,0.051,0.051,0.051,0.071
2022-07-29,8,-0.04326,0.375,-0.125,0.01082,US,KR,KR,0.003,0.0,0.0,0.0084,-0.0424,-0.0454,0.0084,0.0084,-0.017
2022-08-31,8,-0.0045,0.375,-0.125,0.00113,US,KR,KR,0.0,0.0,0.0,-0.1281,-0.0934,-0.0934,-0.1281,-0.1281,-0.1107
2022-09-30,8,-0.03442,0.25,-0.25,0.01721,US,US,KR,0.0,0.003,0.0,0.0641,0.0799,0.0799,0.0769,0.0641,0.072
2022-10-31,8,-0.08756,0.125,-0.375,0.06567,US,US,KR,0.0,0.0,0.0,0.078,0.0538,0.0538,0.0538,0.078,0.0659
2022-11-30,8,-0.0386,0.125,-0.375,0.02895,US,US,KR,0.0,0.0,0.0,-0.0955,-0.059,-0.059,-0.059,-0.0955,-0.0772
2022-12-30,8,-0.05322,0.25,-0.25,0.02661,US,US,KR,0.0,0.0,0.0,0.0896,0.0618,0.0618,0.0618,0.0896,0.0757
2023-01-31,8,-0.01743,0.375,-0.125,0.00436,US,US,KR,0.0,0.0,0.0,-0.005,-0.0261,-0.0261,-0.0261,-0.005,-0.0156
2023-02-28,8,-0.02979,0.375,-0.125,0.00745,US,US,KR,0.0,0.0,0.0,0.0265,0.0351,0.0351,0.0351,0.0265,0.0308
